"gene","drug","drug_concept_id","interaction_score","interaction_types","sources","key"
"BLK","CEDIRANIB","ncit:C80867",0.0221954925845602,"","DTC","CEDIRANIB|ncit:C80867"
"BLK","CYC-116","chembl:CHEMBL482967",0.0128138926261378,"","DTC","CYC-116|chembl:CHEMBL482967"
"BLK","RG-1530","iuphar.ligand:10361",0.013222846646121,"","DTC","RG-1530|iuphar.ligand:10361"
"BLK","BARASERTIB-HQPA","iuphar.ligand:5663",0.0540411993363204,"","DTC","BARASERTIB-HQPA|iuphar.ligand:5663"
"BLK","SORAFENIB","rxcui:495881",0.0108082398672641,"","DTC","SORAFENIB|rxcui:495881"
"BLK","NVP-TAE684","iuphar.ligand:5714",0.0120674522789842,"","DTC","NVP-TAE684|iuphar.ligand:5714"
"BLK","CP-547632","iuphar.ligand:7881",0.0282488087439857,"","DTC","CP-547632|iuphar.ligand:7881"
"BLK","CENISERTIB","ncit:C64540",0.0105334541079269,"","DTC","CENISERTIB|ncit:C64540"
"BLK","TAMATINIB","drugbank:DB07159",0.0153450319103132,"","DTC","TAMATINIB|drugbank:DB07159"
"BLK","IBRUTINIB","rxcui:1442981",0.0365572819039815,"","CIViC","IBRUTINIB|rxcui:1442981"
"BLK","HESPERADIN","rxcui:1552358",0.0310736896183842,"","DTC","HESPERADIN|rxcui:1552358"
"BLK","TOZASERTIB","ncit:C98053",0.0170266792429503,"","DTC","TOZASERTIB|ncit:C98053"
"BLK","LAUROGUADINE","ncit:C80857",0.0443909851691204,"","DTC","LAUROGUADINE|ncit:C80857"
"BLK","ALSTERPAULLONE","drugbank:DB04014",0.0239028381679879,"","DTC","ALSTERPAULLONE|drugbank:DB04014"
"BLK","FARNESOL","drugbank:DB02509",1.24294758473537,"","GuideToPharmacology","FARNESOL|drugbank:DB02509"
